No,Kota,Produk,Harga Satuan,Jumlah Pesanan,Tipe Pembayaran,Tipe Pengiriman,Rating Produk,Harga Total
117,Jakarta,Sneakers,344058,2,Transfer Bank,Same Day,4.5,688116
118,Yogyakarta,Earphone,83888,3,ShopeePay,Reguler,4.8,251664
119,Denpasar,Power Bank,885718,3,Kartu Kredit,Reguler,3.3,2657154
120,Semarang,Kemeja,605581,4,ShopeePay,Same Day,1.2,2422324
121,Denpasar,Earphone,233596,4,COD,Same Day,4.9,934384
122,Semarang,Kemeja,88515,3,COD,Reguler,3.8,265545
123,Bandung,Kemeja,436740,4,COD,Kilat,2.3,1746960
124,Makassar,Power Bank,289209,3,Transfer Bank,Kilat,1.6,867627
125,Semarang,Kemeja,713044,2,COD,Same Day,1.6,1426088
126,Denpasar,Lipstik,633008,4,ShopeePay,Reguler,1.7,2532032
127,Bandung,Kaos,184437,3,Kartu Kredit,Same Day,1.2,553311
128,Jakarta,Lipstik,865308,4,COD,Kilat,4.6,3461232
129,Medan,Kaos,961208,2,Transfer Bank,Hemat,3.2,1922416
130,Medan,Parfum,208929,4,Kartu Kredit,Hemat,3.8,835716
131,Medan,Parfum,156694,3,COD,Kilat,4.3,470082
132,Semarang,Kemeja,890229,4,COD,Same Day,4.2,3560916
133,Jakarta,Jam Tangan,261540,4,Kartu Kredit,Hemat,4.5,1046160
134,Semarang,Jam Tangan,635429,3,COD,Kilat,4.9,1906287
135,Makassar,Kaos,266476,1,Transfer Bank,Reguler,2.8,266476
136,Semarang,Earphone,384534,4,ShopeePay,Same Day,4.8,1538136
137,Jakarta,Power Bank,379000,4,ShopeePay,Same Day,3.9,1516000
138,Jakarta,Kemeja,872633,2,Kartu Kredit,Hemat,1.3,1745266
139,Makassar,Power Bank,445910,1,ShopeePay,Same Day,3.7,445910
140,Jakarta,Lipstik,896198,2,COD,Hemat,3.7,1792396
141,Denpasar,Jam Tangan,42995,3,COD,Hemat,4.6,128985
142,Jakarta,Tas Ransel,898752,3,Transfer Bank,Kilat,2.5,2696256
143,Medan,Lipstik,624429,2,ShopeePay,Hemat,3.3,1248858
144,Denpasar,Lipstik,683779,4,Kartu Kredit,Reguler,1,2735116
145,Denpasar,Kaos,461168,1,COD,Same Day,2.3,461168
146,Makassar,Celana Jeans,709197,2,Kartu Kredit,Hemat,1.2,1418394
147,Surabaya,Lipstik,90799,2,COD,Same Day,3.1,181598
148,Surabaya,Kemeja,724237,3,COD,Hemat,4.3,2172711
149,Jakarta,Sneakers,519471,4,Transfer Bank,Kilat,1.8,2077884
150,Denpasar,Sneakers,852119,1,ShopeePay,Reguler,3.1,852119
151,Surabaya,Kemeja,775027,2,Transfer Bank,Same Day,1.8,1550054
152,Surabaya,Celana Jeans,57276,1,ShopeePay,Kilat,1.5,57276
153,Jakarta,Celana Jeans,578811,1,Kartu Kredit,Same Day,3,578811
154,Surabaya,Kaos,217127,2,ShopeePay,Kilat,1.3,434254
155,Semarang,Jam Tangan,336759,1,Kartu Kredit,Reguler,3.3,336759
156,Bandung,Power Bank,509858,3,COD,Hemat,1.1,1529574
157,Makassar,Celana Jeans,523256,4,Kartu Kredit,Kilat,1.4,2093024
158,Bandung,Tas Ransel,30514,4,Kartu Kredit,Same Day,3.2,122056
159,Jakarta,Kaos,67456,4,COD,Same Day,3.4,269824
160,Medan,Parfum,27233,3,Kartu Kredit,Kilat,1.1,81699
161,Makassar,Earphone,283246,3,Kartu Kredit,Reguler,3.3,849738
162,Jakarta,Parfum,86133,3,COD,Reguler,4.4,258399
163,Denpasar,Kaos,853147,4,COD,Hemat,3.9,3412588
164,Medan,Lipstik,498409,1,COD,Hemat,1.5,498409
165,Bandung,Power Bank,916977,3,ShopeePay,Same Day,3.4,2750931
166,Jakarta,Earphone,648373,2,COD,Same Day,3.7,1296746
167,Denpasar,Parfum,653389,3,COD,Hemat,1.1,1960167
168,Makassar,Earphone,419472,2,Kartu Kredit,Hemat,4.4,838944
169,Makassar,Tas Ransel,128684,4,Transfer Bank,Hemat,4.6,514736
170,Yogyakarta,Tas Ransel,346944,2,Transfer Bank,Kilat,4.4,693888
171,Denpasar,Tas Ransel,542116,3,ShopeePay,Hemat,4.3,1626348
172,Semarang,Kaos,639225,3,ShopeePay,Kilat,4,1917675
173,Surabaya,Power Bank,585836,1,Transfer Bank,Kilat,3.5,585836
174,Medan,Kaos,229272,4,Transfer Bank,Hemat,3.7,917088
175,Denpasar,Sneakers,455583,2,COD,Reguler,4.2,911166
176,Yogyakarta,Lipstik,935277,4,Kartu Kredit,Reguler,3.6,3741108
177,Surabaya,Lipstik,658103,3,COD,Same Day,2.3,1974309
178,Surabaya,Tas Ransel,240994,1,ShopeePay,Hemat,2.5,240994
179,Jakarta,Sneakers,147602,3,Transfer Bank,Same Day,4.6,442806
180,Surabaya,Celana Jeans,670558,3,ShopeePay,Hemat,1.1,2011674
181,Semarang,Celana Jeans,932752,3,COD,Same Day,3.8,2798256
182,Makassar,Tas Ransel,963709,2,ShopeePay,Kilat,4.8,1927418
183,Yogyakarta,Parfum,832002,3,ShopeePay,Hemat,3.8,2496006
184,Surabaya,Kaos,443471,4,Kartu Kredit,Reguler,5,1773884
185,Jakarta,Tas Ransel,565470,4,ShopeePay,Hemat,3.8,2261880
186,Semarang,Jam Tangan,321517,1,COD,Same Day,1.1,321517
187,Bandung,Earphone,325163,4,Kartu Kredit,Same Day,4.3,1300652
188,Makassar,Lipstik,213691,3,ShopeePay,Same Day,2.1,641073
189,Makassar,Celana Jeans,298187,3,COD,Same Day,2.8,894561
190,Yogyakarta,Kemeja,458748,4,Transfer Bank,Same Day,2.2,1834992
191,Makassar,Celana Jeans,252362,1,Kartu Kredit,Same Day,2.1,252362
192,Surabaya,Lipstik,217008,1,ShopeePay,Reguler,2.7,217008
193,Jakarta,Earphone,301383,4,ShopeePay,Same Day,2.5,1205532
194,Makassar,Lipstik,161488,2,Kartu Kredit,Reguler,3.5,322976
195,Makassar,Kemeja,678772,2,COD,Hemat,4.3,1357544
196,Bandung,Tas Ransel,888408,2,ShopeePay,Kilat,2.2,1776816
197,Bandung,Sneakers,568694,2,COD,Reguler,1.9,1137388
198,Medan,Kemeja,284019,4,Kartu Kredit,Hemat,3.7,1136076
199,Semarang,Lipstik,532447,1,ShopeePay,Kilat,3.7,532447
200,Surabaya,Lipstik,974570,3,Transfer Bank,Reguler,4.6,2923710
201,Makassar,Jam Tangan,515288,3,Transfer Bank,Reguler,1.1,1545864
202,Denpasar,Jam Tangan,418968,4,Transfer Bank,Hemat,4.4,1675872
203,Makassar,Power Bank,499969,3,Kartu Kredit,Same Day,3.1,1499907
204,Jakarta,Jam Tangan,229097,2,ShopeePay,Reguler,3.5,458194
205,Medan,Kaos,414569,1,Kartu Kredit,Reguler,1.4,414569
206,Semarang,Sneakers,702346,4,ShopeePay,Hemat,2.7,2809384
207,Denpasar,Earphone,821123,1,Transfer Bank,Same Day,1.9,821123
208,Medan,Kemeja,220919,4,Transfer Bank,Kilat,2,883676
209,Yogyakarta,Lipstik,854507,4,COD,Same Day,3,3418028
210,Semarang,Power Bank,30794,4,Kartu Kredit,Same Day,4.2,123176
211,Makassar,Power Bank,219542,4,Kartu Kredit,Hemat,4,878168
212,Makassar,Earphone,691766,1,COD,Same Day,3.4,691766
213,Semarang,Sneakers,358074,3,Transfer Bank,Hemat,3.2,1074222
214,Makassar,Kemeja,791257,4,Transfer Bank,Kilat,2.7,3165028
215,Surabaya,Celana Jeans,964376,2,Kartu Kredit,Reguler,4.9,1928752
216,Semarang,Jam Tangan,61708,4,ShopeePay,Reguler,3.2,246832
217,Medan,Tas Ransel,921924,1,Transfer Bank,Hemat,2,921924
218,Semarang,Power Bank,913061,4,COD,Hemat,1.9,3652244
219,Denpasar,Jam Tangan,958304,2,COD,Same Day,3.4,1916608
220,Makassar,Jam Tangan,194469,1,COD,Same Day,3.1,194469
221,Surabaya,Kaos,667601,4,Kartu Kredit,Reguler,1,2670404
222,Surabaya,Sneakers,975413,2,Kartu Kredit,Reguler,4.3,1950826
223,Yogyakarta,Tas Ransel,827784,1,Kartu Kredit,Reguler,3.8,827784
224,Medan,Celana Jeans,908407,4,Kartu Kredit,Hemat,3.6,3633628
225,Bandung,Lipstik,375992,2,COD,Kilat,1.3,751984
226,Bandung,Kaos,780956,1,COD,Kilat,2.4,780956
227,Semarang,Jam Tangan,428654,4,Kartu Kredit,Hemat,4.7,1714616
228,Yogyakarta,Jam Tangan,851431,1,Kartu Kredit,Same Day,4.5,851431
229,Jakarta,Parfum,562770,2,COD,Kilat,2.1,1125540
230,Semarang,Tas Ransel,183543,4,Kartu Kredit,Same Day,1.6,734172
231,Yogyakarta,Tas Ransel,853711,4,Kartu Kredit,Reguler,2.8,3414844
232,Medan,Parfum,391557,4,Kartu Kredit,Reguler,2.4,1566228
233,Medan,Tas Ransel,519964,2,Kartu Kredit,Same Day,3.7,1039928
234,Medan,Jam Tangan,74213,3,Transfer Bank,Reguler,4.9,222639
235,Medan,Power Bank,920341,4,Kartu Kredit,Hemat,2.5,3681364
236,Medan,Kemeja,819458,2,COD,Same Day,1.2,1638916
237,Yogyakarta,Jam Tangan,258697,1,COD,Same Day,4.6,258697
238,Yogyakarta,Kaos,367328,1,COD,Same Day,1.2,367328
239,Surabaya,Sneakers,25435,2,COD,Kilat,4.8,50870
240,Denpasar,Parfum,159565,3,Kartu Kredit,Same Day,3.7,478695
241,Bandung,Celana Jeans,223299,2,Transfer Bank,Same Day,4.8,446598
242,Makassar,Lipstik,865753,1,ShopeePay,Same Day,1.8,865753
243,Medan,Celana Jeans,940267,1,ShopeePay,Kilat,1.2,940267
244,Jakarta,Jam Tangan,302533,4,ShopeePay,Reguler,3,1210132
245,Makassar,Kaos,51498,3,ShopeePay,Kilat,2.8,154494
246,Yogyakarta,Jam Tangan,870187,2,COD,Hemat,2.3,1740374
247,Jakarta,Sneakers,907977,1,Kartu Kredit,Same Day,4.8,907977
248,Jakarta,Power Bank,580113,1,Kartu Kredit,Hemat,4.3,580113
249,Jakarta,Lipstik,299078,1,ShopeePay,Kilat,3.6,299078
250,Surabaya,Sneakers,549862,2,ShopeePay,Reguler,1.7,1099724
251,Yogyakarta,Parfum,674986,2,Transfer Bank,Reguler,3.9,1349972
252,Jakarta,Parfum,713539,3,Transfer Bank,Same Day,3.9,2140617
253,Medan,Jam Tangan,939091,4,Transfer Bank,Reguler,2.7,3756364
254,Semarang,Kaos,62782,4,COD,Kilat,4.7,251128
255,Jakarta,Sneakers,467628,4,Kartu Kredit,Kilat,1.7,1870512
256,Surabaya,Earphone,80561,1,COD,Reguler,2.1,80561
257,Makassar,Kaos,490440,4,COD,Same Day,1.3,1961760
258,Yogyakarta,Power Bank,941913,1,Kartu Kredit,Same Day,4.2,941913
259,Denpasar,Parfum,933591,3,Transfer Bank,Kilat,3.5,2800773
260,Surabaya,Jam Tangan,484535,1,Kartu Kredit,Reguler,2.3,484535
261,Jakarta,Tas Ransel,512232,3,ShopeePay,Kilat,1.7,1536696
262,Yogyakarta,Parfum,571039,3,Transfer Bank,Kilat,1.2,1713117
263,Semarang,Lipstik,320318,4,Kartu Kredit,Hemat,1.7,1281272
264,Jakarta,Kemeja,929110,4,COD,Kilat,2.8,3716440
265,Surabaya,Tas Ransel,76572,1,Kartu Kredit,Same Day,2,76572
266,Bandung,Jam Tangan,867848,2,Transfer Bank,Reguler,2,1735696
267,Medan,Earphone,425257,4,ShopeePay,Reguler,4.5,1701028
268,Denpasar,Tas Ransel,436443,4,COD,Hemat,3.1,1745772
269,Makassar,Lipstik,841633,2,ShopeePay,Hemat,3.9,1683266
270,Surabaya,Kaos,56069,2,ShopeePay,Same Day,1.1,112138
271,Yogyakarta,Earphone,757550,4,COD,Hemat,2.5,3030200
272,Denpasar,Parfum,832802,2,Kartu Kredit,Kilat,2.9,1665604
273,Denpasar,Earphone,770378,1,Kartu Kredit,Kilat,1.7,770378
274,Denpasar,Sneakers,931774,3,ShopeePay,Same Day,1.5,2795322
275,Jakarta,Lipstik,802533,3,Kartu Kredit,Reguler,4.5,2407599
276,Medan,Tas Ransel,949090,4,Transfer Bank,Same Day,4.8,3796360
277,Jakarta,Sneakers,725591,4,ShopeePay,Hemat,1.3,2902364
278,Yogyakarta,Earphone,407902,1,ShopeePay,Reguler,2.4,407902
279,Jakarta,Sneakers,942826,2,ShopeePay,Reguler,4.8,1885652
280,Bandung,Celana Jeans,871726,4,Transfer Bank,Reguler,1.3,3486904
281,Medan,Lipstik,623756,3,ShopeePay,Hemat,3.6,1871268
282,Medan,Power Bank,704659,1,Kartu Kredit,Kilat,4.9,704659
283,Yogyakarta,Kaos,110715,1,Kartu Kredit,Kilat,4.9,110715
284,Makassar,Earphone,90793,2,Kartu Kredit,Hemat,2.9,181586
285,Bandung,Lipstik,459717,4,Kartu Kredit,Hemat,1.7,1838868
286,Surabaya,Power Bank,732494,4,ShopeePay,Same Day,1.8,2929976
287,Jakarta,Power Bank,655960,1,Transfer Bank,Same Day,4.6,655960
288,Semarang,Jam Tangan,422993,3,COD,Kilat,4.6,1268979
289,Jakarta,Sneakers,162321,4,Kartu Kredit,Hemat,3.4,649284
290,Denpasar,Power Bank,665190,3,COD,Same Day,4.1,1995570
291,Jakarta,Celana Jeans,41390,1,COD,Hemat,4,41390
292,Surabaya,Lipstik,40369,4,ShopeePay,Hemat,3.6,161476
293,Jakarta,Kemeja,163953,3,Kartu Kredit,Kilat,4.3,491859
294,Bandung,Kemeja,291731,1,Kartu Kredit,Kilat,3.7,291731
295,Bandung,Earphone,244872,3,Kartu Kredit,Hemat,3.1,734616
296,Medan,Parfum,487543,4,COD,Reguler,1.9,1950172
297,Yogyakarta,Sneakers,913441,2,Kartu Kredit,Reguler,4,1826882
298,Makassar,Parfum,501127,3,Kartu Kredit,Hemat,2.9,1503381
299,Semarang,Power Bank,501363,2,Transfer Bank,Kilat,2.2,1002726
300,Denpasar,Lipstik,782922,4,ShopeePay,Reguler,4.2,3131688
301,Jakarta,Earphone,945337,2,Kartu Kredit,Kilat,3.8,1890674
302,Jakarta,Tas Ransel,530790,1,Kartu Kredit,Reguler,4.7,530790
303,Surabaya,Power Bank,67013,2,ShopeePay,Hemat,1.7,134026
304,Yogyakarta,Sneakers,661629,3,ShopeePay,Same Day,3.6,1984887
305,Bandung,Kemeja,934217,3,COD,Same Day,2,2802651
306,Semarang,Jam Tangan,738980,2,COD,Kilat,4.6,1477960
307,Medan,Lipstik,166826,1,COD,Kilat,1.4,166826
308,Bandung,Kaos,651872,4,ShopeePay,Reguler,3.6,2607488
309,Denpasar,Parfum,98113,2,Transfer Bank,Hemat,4.2,196226
310,Yogyakarta,Earphone,509847,3,Kartu Kredit,Reguler,2.4,1529541
311,Denpasar,Parfum,893216,3,ShopeePay,Hemat,4.8,2679648
312,Makassar,Lipstik,55282,2,Transfer Bank,Hemat,4.4,110564
313,Medan,Parfum,187809,2,ShopeePay,Kilat,2.2,375618
314,Makassar,Lipstik,531188,2,Transfer Bank,Same Day,1,1062376
315,Surabaya,Parfum,510643,4,ShopeePay,Same Day,2.2,2042572
316,Denpasar,Celana Jeans,306268,3,ShopeePay,Kilat,2.1,918804
317,Surabaya,Tas Ransel,876534,3,Transfer Bank,Same Day,4.6,2629602
318,Jakarta,Power Bank,415412,3,Transfer Bank,Kilat,4.9,1246236
319,Makassar,Power Bank,867959,4,Transfer Bank,Reguler,1.3,3471836
320,Yogyakarta,Sneakers,412515,1,Transfer Bank,Hemat,2.9,412515
321,Denpasar,Kaos,937374,3,Transfer Bank,Same Day,3.2,2812122
322,Semarang,Kaos,116651,3,Transfer Bank,Same Day,1.4,349953
323,Medan,Sneakers,266549,1,Transfer Bank,Reguler,2.5,266549
324,Bandung,Jam Tangan,105395,4,Transfer Bank,Reguler,2.3,421580
325,Yogyakarta,Power Bank,555633,1,ShopeePay,Same Day,3.1,555633
326,Yogyakarta,Jam Tangan,930976,1,Transfer Bank,Same Day,3.6,930976
327,Surabaya,Lipstik,840509,1,Transfer Bank,Kilat,3.8,840509
328,Makassar,Lipstik,412573,1,ShopeePay,Kilat,1.5,412573
329,Denpasar,Kemeja,741760,4,ShopeePay,Same Day,4.3,2967040
330,Denpasar,Parfum,556343,4,COD,Kilat,3.7,2225372
331,Jakarta,Kaos,385837,1,COD,Reguler,4.6,385837
332,Jakarta,Kemeja,105283,2,Transfer Bank,Hemat,2.8,210566
333,Medan,Tas Ransel,64484,2,Transfer Bank,Kilat,4.6,128968
334,Surabaya,Sneakers,621802,2,COD,Hemat,4.5,1243604
335,Yogyakarta,Sneakers,110135,2,COD,Kilat,2.8,220270
336,Denpasar,Lipstik,317915,3,Kartu Kredit,Same Day,2.5,953745
337,Semarang,Power Bank,525694,4,Kartu Kredit,Kilat,4.7,2102776
338,Surabaya,Jam Tangan,208726,4,Transfer Bank,Hemat,3.9,834904
339,Medan,Kaos,459756,1,Kartu Kredit,Hemat,4.7,459756
340,Medan,Kemeja,234223,3,COD,Same Day,4.2,702669
341,Surabaya,Jam Tangan,916716,1,Transfer Bank,Hemat,3.4,916716
342,Medan,Kemeja,137399,1,ShopeePay,Same Day,1.5,137399
343,Surabaya,Parfum,911317,4,ShopeePay,Same Day,2.2,3645268
344,Bandung,Tas Ransel,535609,3,COD,Hemat,4.9,1606827
345,Surabaya,Tas Ransel,966881,2,Kartu Kredit,Reguler,2.3,1933762
346,Makassar,Jam Tangan,200645,4,ShopeePay,Hemat,1.4,802580
347,Surabaya,Jam Tangan,718093,3,Kartu Kredit,Hemat,3.8,2154279
348,Medan,Jam Tangan,149344,3,ShopeePay,Kilat,3.9,448032
349,Denpasar,Kemeja,162832,4,Kartu Kredit,Hemat,2.1,651328
350,Makassar,Parfum,657514,4,ShopeePay,Kilat,2.2,2630056
351,Medan,Celana Jeans,643538,1,ShopeePay,Kilat,2.9,643538
352,Jakarta,Jam Tangan,307906,1,Transfer Bank,Hemat,1.1,307906
353,Jakarta,Power Bank,202058,1,Transfer Bank,Same Day,4.2,202058
354,Denpasar,Kaos,709692,2,COD,Reguler,2.3,1419384
355,Denpasar,Kaos,191172,4,ShopeePay,Hemat,4.4,764688
356,Makassar,Kemeja,156016,3,Kartu Kredit,Hemat,4.2,468048
357,Bandung,Jam Tangan,68825,4,ShopeePay,Same Day,3.6,275300
358,Denpasar,Lipstik,33877,3,Kartu Kredit,Kilat,2.3,101631
359,Jakarta,Sneakers,443206,2,Kartu Kredit,Same Day,3.1,886412
360,Surabaya,Celana Jeans,149065,4,ShopeePay,Same Day,2.8,596260
361,Medan,Power Bank,652731,3,Kartu Kredit,Kilat,2.4,1958193
362,Jakarta,Parfum,381756,3,COD,Hemat,4.4,1145268
363,Jakarta,Lipstik,137674,1,Transfer Bank,Same Day,2.9,137674
364,Bandung,Tas Ransel,135074,2,Kartu Kredit,Same Day,4.3,270148
365,Makassar,Lipstik,992787,4,ShopeePay,Hemat,1.4,3971148
